,Ticker,Price,Chg % 1D,Chg 1D,Technical Rating 1D,Vol 1D,Volume * Price 1D,Market cap,P/E(TTM),EPS(TTM),Employees,Sector
0,A2M,6.98,0.58%,0.04AUD,Buy,3.264M,22.782M,3.577BUSD,46.56,0.10USD,427,Consumer Non-Durables
1,AAB,2.72,0.74%,0.02AUD,Buy,627.459K,1.707M,1.678BUSD,4.42,0.42USD,—,Finance
2,AFI,7.53,0.40%,0.03AUD,Buy,178.94K,1.347M,6.443BUSD,25.51,0.20USD,—,Miscellaneous
3,AGL,7.67,−0.90%,−0.07AUD,Sell,777.624K,5.964M,3.62BUSD,5.89,0.91USD,3.897K,Utilities
4,AIA,7.60,−0.65%,−0.05AUD,Buy,492.372K,3.742M,7.805BUSD,65.05,0.08USD,430,Transportation
5,AIZ,0.720,1.41%,0.010AUD,Strong Buy,658.809K,474.342K,1.654BUSD,—,−0.15USD,8.863K,Transportation
6,AKE,12.29,−1.52%,−0.19AUD,Neutral,3.222M,39.598M,5.533BUSD,18.57,0.46USD,1.3K,Non-Energy Minerals
7,ALD,28.68,0.91%,0.26AUD,Buy,630.111K,18.072M,4.709BUSD,7.31,2.69USD,8.3K,Energy Minerals
8,ALL,33.55,0.81%,0.27AUD,Buy,1.231M,41.314M,15.17BUSD,23.38,0.91USD,7.5K,Consumer Services
9,ALQ,12.66,−0.63%,−0.08AUD,Buy,521.174K,6.598M,4.289BUSD,23.44,0.35USD,—,Commercial Services
10,ALU,36.54,−1.27%,−0.47AUD,Buy,204.107K,7.458M,3.388BUSD,63.88,0.40USD,—,Technology Services
11,ALX,6.91,−0.14%,−0.01AUD,Buy,1.16M,8.019M,6.981BUSD,33.89,0.14USD,—,Transportation
12,AMC,17.64,0.74%,0.13AUD,Sell,1.419M,25.037M,18.062BUSD,22.59,0.50USD,44K,Process Industries
13,AMP,1.350,0.00%,0.000AUD,Buy,5.202M,7.022M,2.868BUSD,—,−0.06USD,4.1K,Finance
14,ANN,29.00,−0.38%,−0.11AUD,Strong Buy,236.772K,6.866M,2.545BUSD,17.05,1.19USD,14.158K,Producer Manufacturing
15,ANZ,24.91,0.08%,0.02AUD,Buy,5.138M,127.988M,51.899BUSD,10.72,1.59USD,39.196K,Finance
16,APA,10.42,−0.48%,−0.05AUD,Sell,1.246M,12.984M,8.589BUSD,53.66,0.13USD,2K,Utilities
17,APE,11.73,−1.43%,−0.17AUD,Neutral,159.534K,1.871M,2.113BUSD,10.41,0.79USD,—,Retail Trade
18,APM,2.44,0.83%,0.02AUD,Sell,546.557K,1.334M,1.543BUSD,54.02,0.03USD,10.3K,Commercial Services
19,ARB,29.48,−0.27%,−0.08AUD,Buy,115.909K,3.417M,1.685BUSD,19.79,1.03USD,—,Producer Manufacturing
20,ARG,9.18,0.77%,0.07AUD,Strong Buy,117.067K,1.075M,4.769BUSD,21.32,0.29USD,—,Miscellaneous
21,ASX,69.22,1.04%,0.71AUD,Buy,406.554K,28.142M,9.222BUSD,26.08,1.81USD,790,Finance
22,AUB,23.36,1.04%,0.24AUD,Strong Buy,91.344K,2.134M,1.632BUSD,22.14,0.72USD,—,Finance
23,AWC,1.650,−2.37%,−0.040AUD,Buy,5.72M,9.438M,3.408BUSD,12.58,0.09USD,—,Non-Energy Minerals
24,AZJ,3.71,−1.59%,−0.06AUD,Sell,5.524M,20.495M,4.824BUSD,13.56,0.19USD,4.917K,Transportation
25,BAP,6.42,−4.61%,−0.31AUD,Strong Sell,2.566M,16.474M,1.588BUSD,18.23,0.26USD,5K,Distribution Services
26,BEN,10.01,−0.60%,−0.06AUD,Buy,1.002M,10.034M,3.966BUSD,12.97,0.61USD,4.652K,Finance
27,BFL,4.85,0.00%,0.00AUD,Sell,1.52K,7.372K,1.576BUSD,5.66,0.59USD,772,Finance
28,BHP,49.14,−1.11%,−0.55AUD,Buy,8.823M,433.547M,174.989BUSD,8.02,4.28USD,—,Non-Energy Minerals
29,BKW,23.79,0.59%,0.14AUD,Strong Buy,97.804K,2.327M,2.494BUSD,4.21,3.97USD,2.1K,Non-Energy Minerals
30,BLD,3.41,1.79%,0.06AUD,Buy,2.754M,9.39M,2.569BUSD,—,−0.11USD,9.149K,Non-Energy Minerals
31,BOQ,7.05,−0.42%,−0.03AUD,Neutral,1.148M,8.095M,3.206BUSD,12.18,0.45USD,3.04K,Finance
32,BPT,1.605,−0.31%,−0.005AUD,Sell,3.504M,5.624M,2.55BUSD,7.34,0.15USD,—,Energy Minerals
33,BRG,20.90,−0.05%,−0.01AUD,Buy,152.952K,3.197M,2.076BUSD,27.76,0.52USD,—,Consumer Durables
34,BSL,18.50,0.05%,0.01AUD,Buy,1.285M,23.771M,5.964BUSD,3.26,3.94USD,6.7K,Producer Manufacturing
35,BBW,3.99,1.01%,0.04AUD,Buy,590.486K,2.356M,1.764BUSD,5.21,0.52USD,—,Finance
36,BXB,11.81,0.77%,0.09AUD,Neutral,2.853M,33.692M,11.317BUSD,20.36,0.40USD,12K,Transportation
37,CAR,22.75,0.18%,0.04AUD,Buy,404.124K,9.194M,5.548BUSD,40.48,0.39USD,1.7K,Technology Services
38,CBA,107.44,0.08%,0.09AUD,Buy,2.329M,250.188M,125.898BUSD,18.09,4.31USD,49.245K,Finance
39,CEN,7.50,4.60%,0.33AUD,Strong Buy,480,3.6K,3.947BUSD,33.99,0.15USD,1.082K,Utilities
40,CGF,7.73,−0.64%,−0.05AUD,Buy,873.756K,6.754M,3.681BUSD,26.12,0.26USD,770,Finance
41,CCH,13.45,1.97%,0.26AUD,Strong Buy,1.38M,18.556M,4.338BUSD,6.91,1.34USD,—,Finance
42,CHN,6.76,−0.59%,−0.04AUD,Buy,2.775M,18.758M,1.78BUSD,—,−0.03USD,—,Non-Energy Minerals
43,CIA,7.31,−2.66%,−0.20AUD,Neutral,1.175M,8.59M,2.701BUSD,14.73,0.33USD,—,Non-Energy Minerals
44,CCI,3.28,0.92%,0.03AUD,Strong Buy,778.587K,2.554M,1.435BUSD,5.30,0.42USD,—,Finance
45,CCL,4.60,0.88%,0.04AUD,Strong Buy,1.925M,8.854M,2.292BUSD,3.33,0.94USD,—,Finance
46,CCM,4.86,−5.63%,−0.29AUD,Buy,586.171K,2.849M,1.342BUSD,21.54,0.17USD,—,Non-Energy Minerals
47,CCM,0.715,0.70%,0.005AUD,Buy,1.243M,888.784K,1.293BUSD,7.09,0.07USD,440,Finance
48,CNU,7.59,0.80%,0.06AUD,Buy,184.291K,1.399M,2.345BUSD,75.12,0.09USD,799,Communications
49,COH,210.41,0.22%,0.46AUD,Strong Buy,114.695K,24.133M,9.603BUSD,47.76,3.03USD,4.5K,Health Technology
50,COL,17.15,2.02%,0.34AUD,Buy,2.965M,50.843M,15.643BUSD,21.38,0.54USD,120K,Retail Trade
51,CPU,23.61,0.08%,0.02AUD,Sell,1.348M,31.829M,9.902BUSD,45.40,0.36USD,14.12K,Technology Services
52,CCQ,3.92,0.00%,0.00AUD,Neutral,957.966K,3.755M,1.584BUSD,3.42,0.79USD,—,Finance
53,CRN,2.06,−0.48%,−0.01AUD,Buy,1.797M,3.702M,2.413BUSD,2.71,0.49USD,1.577K,Energy Minerals
54,CSL,290.56,1.27%,3.64AUD,Strong Buy,842.379K,244.762M,96.199BUSD,43.61,4.62USD,30K,Health Technology
55,CSR,5.12,0.20%,0.01AUD,Buy,2.44M,12.491M,1.698BUSD,11.41,0.29USD,2.573K,Producer Manufacturing
56,CTD,16.60,−0.30%,−0.05AUD,Neutral,273.094K,4.533M,1.694BUSD,935.39,0.01USD,2.99K,Commercial Services
57,CWY,2.72,0.74%,0.02AUD,Buy,4.123M,11.214M,4.179BUSD,70.68,0.03USD,6.6K,Industrial Services
58,CXO,1.020,−4.23%,−0.045AUD,Strong Sell,33.652M,34.325M,1.368BUSD,—,−0.00USD,—,Non-Energy Minerals
59,DDR,10.83,1.40%,0.15AUD,Buy,59.197K,641.104K,1.337BUSD,24.36,0.30USD,694,Retail Trade
60,DEG,1.490,−3.56%,−0.055AUD,Buy,7.283M,10.852M,1.677BUSD,—,−0.01USD,—,Non-Energy Minerals
61,DHG,3.05,−2.24%,−0.07AUD,Neutral,646.817K,1.973M,1.37BUSD,53.24,0.04USD,1.125K,Technology Services
62,DMP,72.43,−1.55%,−1.14AUD,Buy,315.92K,22.882M,4.557BUSD,40.23,1.27USD,743,Consumer Services
63,DOW,3.95,0.00%,0.00AUD,Sell,3.19M,12.601M,1.841BUSD,18.67,0.15USD,33K,Industrial Services
64,DRR,4.70,−1.47%,−0.07AUD,Buy,570.695K,2.682M,1.753BUSD,14.13,0.23USD,8,Miscellaneous
65,DDX,8.00,1.52%,0.12AUD,Buy,4.396M,35.167M,5.893BUSD,5.31,1.04USD,647,Finance
66,EBO,42.33,0.47%,0.20AUD,Buy,35.354K,1.497M,5.591BUSD,38.17,0.76USD,3K,Health Technology
67,EDV,6.49,2.04%,0.13AUD,Neutral,6.127M,39.762M,7.919BUSD,23.01,0.19USD,28K,Retail Trade
68,ELD,10.10,0.50%,0.05AUD,Neutral,356.529K,3.601M,1.093BUSD,9.66,0.67USD,2.5K,Process Industries
69,EVN,3.33,0.00%,0.00AUD,Buy,6.638M,22.105M,4.249BUSD,18.83,0.12USD,2K,Non-Energy Minerals
70,EVT,13.37,−0.15%,−0.02AUD,Buy,62.008K,829.047K,1.502BUSD,40.74,0.23USD,—,Consumer Services
71,FBU,4.70,0.64%,0.03AUD,Buy,205.173K,964.313K,2.557BUSD,10.52,0.33USD,14.7K,Non-Energy Minerals
72,FLT,15.53,−0.70%,−0.11AUD,Neutral,1.141M,17.721M,2.177BUSD,—,−0.99USD,10.257K,Consumer Services
73,FMG,22.03,−1.34%,−0.30AUD,Buy,8.97M,197.612M,47.778BUSD,8.05,1.92USD,11.693K,Non-Energy Minerals
74,FPH,22.77,1.83%,0.41AUD,Strong Buy,242.184K,5.515M,8.933BUSD,59.17,0.24USD,7.375K,Health Technology
75,GMG,19.42,1.94%,0.37AUD,Buy,4.143M,80.45M,24.907BUSD,10.65,1.26USD,1.025K,Finance
76,GNC,7.62,0.93%,0.07AUD,Neutral,454.011K,3.46M,1.171BUSD,4.53,1.07USD,—,Commercial Services
77,GNE,2.43,−0.82%,−0.02AUD,Strong Sell,2.842K,6.906K,1.787BUSD,12.76,0.13USD,1.204K,Utilities
78,GOR,1.755,−4.36%,−0.080AUD,Buy,1.991M,3.495M,1.373BUSD,28.32,0.04USD,73,Non-Energy Minerals
79,GGO,3.21,0.94%,0.03AUD,Buy,300.543K,964.743K,1.694BUSD,5.36,0.41USD,39,Finance
80,GGP,4.43,0.68%,0.03AUD,Buy,4.158M,18.418M,5.86BUSD,7.07,0.43USD,—,Finance
81,GQG,1.550,−2.52%,−0.040AUD,Buy,13.781M,21.36M,3.264BUSD,10.54,0.10USD,—,Finance
82,HHD,1.320,0.00%,0.000AUD,Buy,1.436M,1.896M,1.901BUSD,4.70,0.19USD,—,Finance
83,HLS,3.32,0.61%,0.02AUD,Buy,2.379M,7.899M,1.331BUSD,6.34,0.36USD,11K,Health Services
84,HUB,26.70,−4.47%,−1.25AUD,Buy,442.569K,11.817M,1.552BUSD,143.11,0.14USD,697,Technology Services
85,HVN,4.38,−0.23%,−0.01AUD,Buy,3.519M,15.414M,3.803BUSD,6.75,0.45USD,6.302K,Retail Trade
86,IAG,4.90,1.03%,0.05AUD,Strong Buy,5.205M,25.504M,8.261BUSD,36.38,0.10USD,—,Finance
87,IEL,30.10,−1.02%,−0.31AUD,Buy,785.591K,23.646M,5.881BUSD,82.66,0.25USD,4.709K,Consumer Services
