,Ticker,Price,Chg % 1D,Chg 1D,Technical Rating 1D,Vol 1D,Volume * Price 1D,Market cap,P/E(TTM),EPS(TTM),Employees,Sector
0,A2M,6.66 ,−1.33%,−0.09 AUD,Sell,1.363M,9.075M,3.445B USD,45.15,0.10 USD,427,Consumer Non-Durables
1,AAB,2.85 ,1.06%,0.03 AUD,Buy,769.096K,2.192M,1.754B USD,4.61,0.42 USD,—,Finance
2,AFI,7.52 ,0.00%,0.00 AUD,Neutral,300.056K,2.256M,6.465B USD,24.48,0.21 USD,—,Miscellaneous
3,AGL,7.06 ,1.73%,0.12 AUD,Sell,3.714M,26.221M,3.238B USD,—,−0.78 USD,3.897K,Utilities
4,AIA,7.85 ,0.90%,0.07 AUD,Buy,622.736K,4.888M,7.918B USD,65.96,0.08 USD,430,Transportation
5,AIZ,0.725 ,0.00%,0.000 AUD,Buy,385.8K,279.705K,1.728B USD,—,−0.15 USD,8.863K,Transportation
6,AKE,12.33 ,−1.36%,−0.17 AUD,Strong Sell,2.846M,35.097M,5.626B USD,18.60,0.46 USD,1.3K,Non-Energy Minerals
7,ALD,31.45 ,0.80%,0.25 AUD,Buy,470.108K,14.785M,5.216B USD,8.03,2.69 USD,8.3K,Energy Minerals
8,ALL,36.00 ,−0.11%,−0.04 AUD,Buy,1.64M,59.046M,16.341B USD,25.32,0.91 USD,7.5K,Consumer Services
9,ALQ,12.51 ,0.48%,0.06 AUD,Neutral,398.515K,4.985M,4.187B USD,22.91,0.35 USD,—,Commercial Services
10,ALU,39.98 ,2.64%,1.03 AUD,Buy,433.681K,17.339M,3.531B USD,67.22,0.40 USD,—,Technology Services
11,ALX,6.73 ,0.15%,0.01 AUD,Sell,1.399M,9.413M,6.841B USD,32.91,0.14 USD,—,Transportation
12,AMC,16.45 ,0.06%,0.01 AUD,Sell,1.846M,30.364M,17.065B USD,15.79,0.71 USD,44K,Process Industries
13,AMP,1.310 ,−0.38%,−0.005 AUD,Sell,15.285M,20.023M,2.794B USD,—,−0.06 USD,4.1K,Finance
14,ANN,25.79 ,0.59%,0.15 AUD,Sell,807.232K,20.819M,2.468B USD,15.63,1.12 USD,14.158K,Producer Manufacturing
15,ANZ,24.78 ,−3.77%,−0.97 AUD,Sell,10.466M,259.352M,53.843B USD,11.09,1.59 USD,39.196K,Finance
16,APA,10.84 ,1.31%,0.14 AUD,Strong Buy,1.524M,16.516M,8.787B USD,54.84,0.13 USD,2K,Utilities
17,APE,10.85 ,−0.64%,−0.07 AUD,Sell,425.731K,4.619M,1.907B USD,9.55,0.79 USD,—,Retail Trade
18,APM,2.42 ,1.26%,0.03 AUD,Sell,275.236K,666.071K,1.531B USD,53.35,0.03 USD,10.3K,Commercial Services
19,ARB,30.19 ,−0.17%,−0.05 AUD,Buy,162.065K,4.893M,1.717B USD,20.24,1.03 USD,—,Producer Manufacturing
