,Ticker,Price,Chg % 1D,Chg 1D,Technical Rating 1D,Vol 1D,Volume * Price 1D,Market cap,P/E(TTM),EPS(TTM),Employees,Sector
0,360,8.18 ,0.12%,0.01 AUD,Buy,769.534K,6.295M AUD,1.049B USD,—,—,−0.27 USD,600
1,A2M,4.27 ,−13.56%,−0.67 AUD,Strong Sell,13.596M,58.056M AUD,2.286B USD,−1.26%,24.96,0.12 USD,427
2,ABC,2.77 ,1.47%,0.04 AUD,Strong Buy,828.96K,2.296M AUD,1.142B USD,2.74%,17.72,0.11 USD,1.5K
3,AFI,6.91 ,−0.58%,−0.04 AUD,Strong Sell,322.551K,2.229M AUD,5.519B USD,—,—,0.17 USD,—
4,AGL,10.91 ,−0.27%,−0.03 AUD,Sell,1.612M,17.587M AUD,4.712B USD,39.54%,—,−1.25 USD,3.881K
5,AIA,7.49 ,−1.71%,−0.13 AUD,Strong Sell,372.427K,2.789M AUD,7.19B USD,11.56%,135.11,0.04 USD,430
6,AIZ,0.690 ,−2.13%,−0.015 AUD,Strong Sell,331.365K,228.642K AUD,1.515B USD,14.32%,—,−0.02 USD,8.863K
7,AKE,13.87 ,4.21%,0.56 AUD,Sell,3.885M,53.885M AUD,5.434B USD,7.86%,13.20,0.72 USD,1.3K
8,ALD,33.79 ,3.75%,1.22 AUD,Strong Buy,1.021M,34.513M AUD,4.969B USD,−4.60%,10.69,2.17 USD,9.3K
9,ALL,40.49 ,0.72%,0.29 AUD,Buy,1.549M,62.729M AUD,16.663B USD,7.95%,—,—,7.5K
10,ALQ,11.04 ,−0.72%,−0.08 AUD,Sell,897.275K,9.906M AUD,3.447B USD,−8.70%,19.23,0.39 USD,19.085K
11,ALU,36.88 ,−0.19%,−0.07 AUD,Sell,232.259K,8.566M AUD,3.114B USD,20.17%,54.30,0.46 USD,784
12,ALX,5.96 ,−2.30%,−0.14 AUD,Strong Sell,1.684M,10.04M AUD,5.666B USD,14.92%,27.85,0.15 USD,—
13,AMC,14.88 ,−0.53%,−0.08 AUD,Neutral,2.034M,30.263M AUD,13.862B USD,−19.91%,14.12,0.71 USD,41K
14,AMP,1.230 ,−1.99%,−0.025 AUD,Buy,8.329M,10.245M AUD,2.247B USD,−4.85%,—,−0.01 USD,4.3K
15,ANN,23.08 ,−0.90%,−0.21 AUD,Sell,254.669K,5.878M AUD,1.872B USD,−8.69%,13.31,1.16 USD,14.414K
16,ANZ,24.24 ,−1.02%,−0.25 AUD,Sell,4.918M,119.204M AUD,47.054B USD,10.15%,10.62,1.62 USD,39.196K
17,APA,9.18 ,−1.40%,−0.13 AUD,Strong Sell,1.048M,9.619M AUD,7.033B USD,−20.29%,40.26,0.16 USD,2K
18,APE,14.11 ,1.36%,0.19 AUD,Sell,256.49K,3.619M AUD,2.29B USD,4.81%,11.73,0.82 USD,7.738K
19,APM,1.780 ,0.00%,0.000 AUD,Sell,372.974K,663.894K AUD,1.045B USD,−48.41%,12.20,0.10 USD,10.3K
20,ARB,33.54 ,1.54%,0.51 AUD,Strong Buy,222.3K,7.456M AUD,1.736B USD,0.21%,27.30,0.84 USD,—
21,ARG,8.86 ,−0.78%,−0.07 AUD,Sell,211.877K,1.877M AUD,4.32B USD,—,24.56,0.24 USD,—
22,AAS,1.265 ,3.69%,0.045 AUD,Strong Buy,1.882M,2.38M AUD,—,—,—,—,—
23,ASX,57.22 ,−3.05%,−1.80 AUD,Strong Sell,703.3K,40.243M AUD,7.316B USD,−28.02%,34.91,1.09 USD,967
24,AUB,29.01 ,0.14%,0.04 AUD,Buy,218.132K,6.328M AUD,2.011B USD,64.34%,44.01,0.45 USD,—
25,AWC,1.315 ,−1.13%,−0.015 AUD,Strong Sell,9.275M,12.197M AUD,2.47B USD,−13.64%,27.63,0.03 USD,—
26,AZJ,3.68 ,−0.81%,−0.03 AUD,Sell,5.837M,21.481M AUD,4.371B USD,−6.08%,24.60,0.10 USD,5.618K
27,BAP,6.59 ,1.38%,0.09 AUD,Strong Buy,530.643K,3.497M AUD,1.413B USD,−2.84%,21.09,0.21 USD,5.5K
28,BEN,9.28 ,−0.75%,−0.07 AUD,Buy,1.248M,11.582M AUD,3.392B USD,−1.84%,11.72,0.59 USD,—
29,BFL,5.67 ,1.25%,0.07 AUD,Buy,18.291K,103.71K AUD,1.675B USD,14.28%,5.64,0.67 USD,883
30,BGL,1.450 ,−3.01%,−0.045 AUD,Sell,4.112M,5.963M AUD,1.083B USD,97.38%,—,—,—
31,BHP,43.52 ,−0.39%,−0.17 AUD,Sell,5.589M,243.23M AUD,141.682B USD,5.15%,7.84,3.79 USD,—
32,BKW,25.56 ,−0.16%,−0.04 AUD,Neutral,109.276K,2.793M AUD,2.486B USD,16.67%,6.21,2.92 USD,2.1K
33,BLD,5.03 ,0.40%,0.02 AUD,Buy,1.344M,6.762M AUD,3.538B USD,63.73%,35.35,0.10 USD,7.5K
34,BOQ,5.86 ,−0.85%,−0.05 AUD,Sell,1.727M,10.121M AUD,2.483B USD,−18.36%,20.33,0.23 USD,3.04K
